site_index,English_Quote,Persian_Quote,Prise_Writer
17430,"At its best, his writing functions like a powerful zoom lens, opening out to give us a panoramic appreciation of larger historical trends and patterns, then zeroing in on small details and anecdotes that vividly illustrate his theories.",در بهترین حالت ، کار نوشتن او مانند یک لنز بزرگنمایی کننده و قدرتمند است ،که درک چشمگیر روندها و الگوهای بزرگتر تاریخی را فراهم می کند ، سپس جزئیات و حکایات کوچک را که به وضوح نظریه های او را نشان می دهد ، به تصویر می کشد.,New York Times
28846,Sure to captivate readers who grew up loving The Little Mermaid.,این اثر بدون تردید، مخاطبینی را که با عشق به داستان «پری دریایی کوچولو» بزرگ شده اند، مسحور می کند.,Barnes & Noble
28846,A fairly well written novel that romance fans will enjoy.,رمانی کاملا خوش-ساخت که طرفداران داستان های عاشقانه از آن لذت خواهند برد.,School Library Journal
28846,A sweeping fantasy romance from Kiera Cass.,یک داستان عاشقانه فانتزی وسیع از «کیارا کاس».,Amazon
36473,The Brass Compass should rank as one of the best books of the decade!,قطب نمای برنجی باید به عنوان یکی از بهترین کتاب های دهه شناخته شود!,D'tale Magazine
36473,"The Brass Compass"" is a thoroughly riveting read from beginning to end.",قطب نمای برنجی داستانی پر از پیچ و خم از ابتدا تا انتها است.,Midwest Book Review
59585,"A powerful and riveting tale addressing issues of courage, injustice, and determination in the face of totalitarian oppression.",داستانی قدرتمند و مهیج که به مسائل مربوط به شجاعت، بی عدالتی، و ثبات قدم در مواجهه با ظلم تمامیت خواهانه می پردازد.,Kirkus Reviews
59585,An outstanding and moving novel.,رمانی متمایز و تکان دهنده.,School Library Journal
59585,A beautifully crafted story that delights as it informs.,داستانی زیبا که هم لذت بخش است و هم آموزنده.,Riverbank Review
79284,"exceptionally smart, entertaining....",فوق العاده هوشمندانه، سرگرم کننده...,Washington Post
79284,A book you won’t want to put down.,کتابی که نمی خواهید آن را زمین بگذارید.,Red Carpet Crash
17718,Terrific,فوق العاده,Los Angeles Times
17718,"""Takes the classic to a whole new level",کلاسیک را به سطح کاملا جدیدی می رساند,NPR
60283,Brilliant in the conciseness of its narrative.,روایتش در عین اختصار درخشان است.,Nation
60283,A major work of art.,یک اثر هنری فوق العاده.,Time
16078,An important book that deserves a wide audience.,یک کتاب مهم که سزاوار مخاطبین گسترده است.,First Things
16078,Dembski has done a fine job of putting the ID and specified-complexity pieces of the puzzle in layman's terms.,دمبسکی عملکرد خوبی در شناسایی و ارائه ی قطعات پیچیده و متمایز پازل به زبان مردم معمولی داشته است.,National Catholic Register
16078,"The final part shows how ""science and theology relate coherently and how intelligent design establishes the crucial link between the two."" This suggests that Dembski is not simply rejecting Darwin and naturalism on fundamentalist or biblical grounds. While grounded in faith, he wishes to show how ""God's design is accessible to scientific inquiry."" As such, the book should be of interest to all thinking believers.","بخش انتهایی کتاب نشان می دهد که چگونه ""علم و الهیات هماهنگ و چگونگی طراحی هوشمندانه، ارتباط مهم بین این دو را ایجاد می کند."" این نشان می دهد که دمبسکی به سادگی داروین و طبیعت گرایی را در زمینه های بنیادگرایانه یا کتاب مقدس رد نمی کند. با وجود اینکه به این عقیده ایمان دارد، او می خواهد نشان دهد که چگونه ""طراحی خدا برای تحقیقات علمی قابل دسترسی است"". به همین ترتیب، کتاب باید برای همه مومنین متفکر مورد توجه باشد.",Amazon
433,This starry prince has delighted readers for more than six decades.,این شاهزاده ی ستاره پوش بیش از شش دهه است که مخاطبین را به وجد می آورد.,bn.com
433,"This is an outstanding book for an adolescent to take into adulthood, for an adult who knew it and loved it, or for anyone who has never known it.",این اثر کتابی فوق العاده است برای نوجوانانی که به بزرگسالی وارد می شوند، برای بزرگترهایی که آن را می شناختند و به آن عشق می ورزیدند یا برای هر کسی که هیچ وقت آن را نشناخته است.,Children's Literature
433,A lovely story...which covers a poetic philosophy.,داستانی دوست داشتنی که فلسفه ای شاعرانه در بر دارد.,New York Times Book Review
20878,A deeply moving exploration of the powers of empathy and the obligations of love.,کاوشی عمیقا تکان دهنده در قدرت همدلی و تعهد عشق.,New York Times
20878,With a transcending message of tolerance and hope.,با پیامی تعالی بخش در مورد ایستادگی و امید.,Kirkus Reviews
20878,A gripping end to the Giver series.,پایانی جذاب بر مجموعه «بخشنده».,Los Angeles Times
875,It gets into the deepest questions of modern cosmology without a single equation.,این کتاب، بدون طرح حتی یک معادله ی علمی، به ژرف ترین مسائل کیهان شناسی مدرن می پردازد.,Washington Post
875,A whirlwind tour of fundamental physics and cosmology.,سفری طوفانی در فیزیک پایه و کیهان شناسی.,Wall Street Journal
875,Groundbreaking.,پیشگامانه.,Washington Post
16044,It will satisfy die-hard Batman fans as well as entice new readers.,این اثر، طرفداران سرسخت «بتمن» و همینطور مخاطبین جدید را راضی خواهد کرد.,School Library Journal
16044,Sizzling with action and suspense.,لبریز از اکشن و تعلیق.,Barnes & Noble
16044,Readers will not forget where Selina started.,مخاطبین فراموش نخواهند کرد که «سلینا» مسیر خود را از کجا آغاز کرد.,Booklist
20201,I doubt there is anyone in the world who knows the revolution as well as Figes does.,من شک دارم که کسی در جهان وجود دارد که انقلاب را میشناسد و همچون فیگس عمل می کند.,"(Norman Stone, The Sunday Times (London"
197,A work of strong and scrupulous realism.,اثری با رئالیسمی مستحکم و دقیق.,Washington Post Book World
197,Engrossing.,هیجان انگیز.,Newsweek
197,"Powerful, effective, and page-turningly suspenseful.",قدرتمند، تأثیرگذار و بسیار پرتعلیق.,Christian Science Monitor
3201,[Yalom’s] wise ideas are perfectly accessible.,ایده های هوشمندانه ی یالوم کاملا در دسترس هستند.,Publishers Weekly
3201,"Certainly helpful to therapists and patients, may also help any thoughtful person seeking to improve relationships with others and self-understanding",بسیار مفید برای روان درمان گران و بیماران، به هرکسی که می خواهد روابطش با دیگران را بهبود بدهد و به خودشناسی برسد، کمک می کند.,Washington Post Book World
3201,"The fascinating, moving, inspiring, unexpected stuff of psychotherapy is told with economy",جذاب، محرک، الهام بخش، مطالب دور از انتظار از روان درمانی به صورت خلاصه بیان شده.,Washington Post Book World
17573,"Death and debt are the big issues of the 1959-born Austrian, who is one of the best writers of his generation. His work [. . .] is consistent. The same spirit is at work from the first stories to the critically acclaimed and award-winning novel, Leonardo’s Hands, to Ludwig’s Room.","مرگ و بدهی مشکلات مهم اتریشی متولد 1959 است که یکی از بهترین نویسندگان نسل خود است. کار او پایدار و استوار 


است. همان روحیه اولین داستان ها تا رمان برنده جایزه و تحسین شده اش توسط منتقدان، از دستان لئوناردو تا اتاق لودویگ برقرار است.",Süddeutsche Zeitung
17573,The secret of literature is to make the reader curious about the solution of a riddle. Hotschnig has mastered this technique like no other in his generation Austrian comrades. No word is superfluous.,راز ادبیات این است که خواننده را در حل یک معما کنجکاو کند. هوچنیگ بهتر از هر هم قطار و هم نسل اتریشی خود این مهارت را بدست آورده است. هیچ کلمه ای زائد نیست.,Vienna Press
19102,Readers will applaud Laureth's believable evolution into a more confident young woman.,مخاطبین، تکامل «لورث» به زنی جوان با اعتماد به نفس بیشتر را تحسین خواهند کرد.,Horn Book
19102,"It delivers a compelling mystery, thought-provoking questions about existence, and brilliantly lifelike characters.",این اثر، معمایی مهیج، سوالاتی تفکربرانگیز درباره ی هستی، و شخصیت هایی فوق العاده قابل باور را ارائه می کند.,Booklist
19102,A thriller that challenges readers' understanding of the universe.,تریلری که درک مخاطبین از جهان را به چالش می کشد.,Kirkus Reviews
4765,"Dark, funny, and exquisitely haunting.",تاریک، بامزه و به شکل دلنشینی به یاد ماندنی.,Barnes & Noble
4765,A treasure.,اثری گرانبها.,Kirkus Reviews
4765,A candid cri de coeur of a soul in anguish.,صدای صادقانه ی روحی در رنج.,Publishers Weekly
22995,"Compelling... [Sherman] offers a vivid reminder that diplomacy is about hard work, persistence and the accumulation of experience",جذاب... [شرمن] یادآوری واضحی ارائه می دهد که دیپلماسی کاری سخت، و نیازمند پشتکار و تجربه اندوزی است.,Jason Rezaian
22995,"A powerful, deeply personal, and absorbing book written by one of America's smartest and most dedicated diplomats.",کتابی قدرتمند، عمیقا شخصی و جذاب که توسط یکی از باهوش ترین و فداکارترین دیپلمات های آمریکا نوشته شده است.,Madeleine K. Albright
1376,"A brilliant, amusing, and clear catalogue of the psychological theatricals that human beings play over and over again.",فهرستی درخشان، جذاب و صریح از نمایش های روانشناسانه ای که انسان ها مدام در حال بازی در آن ها هستند.,Life Magazine
1376,The book that has helped millions of people understand the dynamics of relationships.,کتابی که به میلیون ها انسان کمک کرده تا ساز و کار روابط را درک کنند.,Penguin
1376,Powerful and eye-opening.,قدرتمند و روشنگرانه.,Barnes & Noble
69870,Accessible guide to the great thinkers,راهنمایی آسان برای فهم بزرگترین متفکران,School Library Journal
69870,"The visual layout promotes browsing with illustrations, pull quotes, and simple mind maps to explain concepts quickly.",طرح بصری، مرور را با تصاویر، نقل قول ها و نقشه های ذهنی ساده برای توضیح سریع مفاهیم ترویج می کند.,Library Journal
33159,An insightful guide elucidating the significant design trends and movements that have shaped costumes and style from ancient times through today.,راهنمای روشنگری که گرایش ها و حرکات قابل توجه طراحی را که از زمان های قدیم تا امروز شکل لباس ها و سبک ها را شکل داده است، توضیح می دهد.,Florida International
33159,"It is part history, part fashion adviser, part anthology, and all fun.  A must for lovers of all this chic!",بخشی از این کتاب تاریخ است، بخشی مشاوره ی مد، بخشی انسان شناسی، و همه سرگرم کننده است. برای دوستداران صنعت مد همه ی این ها ضروری است!,Le Petite Blog
1190,An exceptional writer.,نویسنده ای استثنایی.,USA Today
1190,A compelling tale of existential angst.,داستانی هیجان انگیز درباره ی اضطراب وجودی.,Chicago Tribune
1190,With thought-provoking honesty.,با صداقتی تفکربرانگیز.,Bookreporter
15269,"In this pioneering examination of the scientific principles behind success, a leading researcher reveals the surprising ways in which we can turn achievement into success.",در این بررسی پیشگامانه ی اصول علمی پشت موفقیت ، یک پژوهشگر پیشرو روشهای غافلگیرکننده ای را به ما نشان می دهد که می توانیم به کمک آن دستاورد را به موفقیت تبدیل کنیم.,goodreads
15269,This is not just an important but an imperative project: to approach the problem of randomness and success using the state of the art scientific arsenal we have.,این پروژه که اهمیتی فراتر از حد معمول دارد به پشتوانه ی منابع علمی هنری به بررسی مشکل نهفته در رابطه ی میان موفقیت و شانس می پردازد.,www.amazon.com
55724,Welcome to Management  by Ryan Hawk is more than a guide on how to effectively lead people,به مدیریت خوش آمدید توسط رایان هاوک چیزی بیش از یک راهنما در مورد چگونگی رهبری موثر افراد است,Verne Harnish
55724,Every new manager makes mistakes. But you might make fewer of them if you follow the practical advice that Ryan Hawk has spent years collecting,هر مدیر جدیدی اشتباه می کند. اما اگر توصیه های عملی را که رایان هاوک سال ها صرف جمع آوری آن ها کرده است، حتما به کاهش این آمار کمک می کند,Adam Grant
67597,This utterly riveting story offers a view of complex family dynamics and child labor.,این داستان فوق العاده مهیج، تصویری از ساز و کارهای پیچیده ی خانواده و کودکان کار را ارائه می کند.,School Library Journal
67597,Rich with memorable characters.,غنی از شخصیت های به یاد ماندنی.,Kirkus Reviews
67597,A gripping novel.,رمانی گیرا.,Publishers Weekly
1775,"An amazing story, and truly inspiring.",داستانی شگفت انگیز و به واقع الهام بخش.,Bill Gates
1775,An unforgettable memoir about a young girl.,شرح حالی فراموش نشدنی درباره ی دختری جوان.,Barnes & Noble
1775,"A gripping, intimate, shocking and inspiring work.",اثری گیرا، شخصی، شوکه کننده و الهام بخش.,School Library Journal
493,It remains from first to last a faultless display of craftsmanship and a wonderfully assured statement of ideas.,این اثر از ابتدا تا انتها، نمایش بی نقص مهارت و تسلط، و ارائه ی شگفت انگیز و جسورانه ی افکار است.,New Yorker
493,"An absorbing piece of work, passionately felt and strikingly written.",اثری بسیار گیرا، پر از احساس و با نثری تأثیرگذار.,Atlantic Monthly
493,Graham Greene’s moving tale of adultery and its aftermath.,داستان تکان دهنده ی گراهام گرین درباره ی خیانت و عواقب آن.,Guardian
484,"For more than a century, The Wind in the Willows have enchanted children of all ages.",باد در درختان بید، بیش از یک سده است که مخاطبین کودک در همه ی سنین را مسحور خود ساخته است.,Barnes & Noble
484,A must-have for every child's library.,کتابی که هر کودکی باید در کتابخانه اش داشته باشد.,Amazon
484,"A charming, exciting and humorous tale.",داستانی جذاب، هیجان انگیز و طنزآمیز.,Common Sense Media
17148,An extraordinary new series that will have you believing in the unbelievable.,یک مجموعه جدید خارق العاده که باعث می شود به موضوعات غیر قابل باور، باور پیدا کنید.,Barnes & Noble
17148,A clever and delightful novel.,رمانی هوشمندانه و لذت بخش.,School Library Journal
17148,It will appeal to readers of Lemony Snicket.,این اثر برای مخاطبین آثار «لمونی اسنیکت» جذاب خواهد بود.,Booklist
21109,This latest installment in Riordan's Nordic-themed fantasy series is a fast-paced adventure narrative featuring snappy dialogue and a diverse cast of well-developed characters. The author possesses a singular talent for re-creating contemporary teenspeak. An entertaining sequel that will whet fans' appetites for the next installment.,آخرین قسمت از مجموعه ی فانتزی ریوردن با پس زمینه ی نوردیک ، یک روایت سریع ماجراجویی است که شامل دیالوگ های جالب و بازیگران متنوعی از شخصیت های خوب و پیشرفته است. نویسنده دارای استعدادی منحصر به فرد برای بازسازی گفتمان نوجوانان معاصر است. مجموعه کتاب هایی سرگرم کننده که اشتهای طرفداران برای قسمت های بعدی را زیاد می کند.,Kirkus Reviews
21109,"Norse myths are in right now, and Riordan has the magic touch.",اسطوره های نورس اکنون واقع شده اند و ریوردن جادوی خود را دارد.,Booklist
30221,"[Schulz’s] very beautiful, sensitive, meaningful story.",داستانی زیبا، حساس و پرمعنی از شولتز.,Guardian
30221,One of the most original imaginations in modern Europe.,یکی از اصیل ترین تخیلات در اروپای مدرن.,Cynthia Ozick
30221,"Schulz cannot be easily classified.He can be called a surrealist, a symbolist, an expressionist, a modernist.",شولتز را نمی توان به سادگی طبقه بندی کرد. او می تواند سوررئالیست، سمبولیست، اکسپرسیونیست و مدرنیست خوانده شود.,Isaac Bashevis Singer
1393,Clever and triumphant.,هوشمندانه و موفق.,The New York Times Book Review
1393,Mesmerizing.,مسحورکننده.,Amazon
125,"Taher's voice is sombre, wise and lyrical.",نثر طاهر، تاریک، هوشمندانه و شعرگونه است.,Times Literary Supplement
125,"A tale of love, conflict and desolation at a remote oasis.",حکایتی درباره ی عشق، ستیزه و ویرانی در واحه ای دوردست.,Guardian
125,"In this historical mystery, [Taher] comes across as an Arabic Graham Greene.",در این داستان معمایی تاریخی، طاهر خود را به عنوان گراهام گرین عرب مطرح می کند.,Winnipeg Free Press
964,A magnificent novel.,رمانی باشکوه.,Goodreads
964,The major achievement of one of the world’s truly great writers.,بزرگترین دستاورد یکی از برترین نویسندگان دنیا.,Barnes & Noble
964,"A meditation on life, on the nature of men and women and love.",تأملی بر زندگی، ذات مردان و زنان، و عشق.,People Magazine
3639,"Harris's most ambitious, page-turning thriller yet.",بلندپروازانه ترین و جذاب ترین تریلر هریس تا به حال.,Barnes & Noble
3639,"A gripping, smart book.",کتابی جذاب و هوشمندانه.,The New York Times Book Review
3639,"Whether you have faith in God, the Church, or neither, Conclave will keep you entertained.",چه به خدا و کلیسا اعتقاد داشته باشید و چه نه، کتاب «مرجع سری» شما را سرگرم نگه خواهد داشت.,The Washington Post
64773,A rich story about a teen girl who craves an understanding of her roots after suffering a tragic loss.,داستانی غنی درباره دختری نوجوان که پس از زخم خوردن از فقدانی تراژیک، به دنبال درک خاستگاه خود است.,Publishers Weekly
64773,"A journey of self-discovery, family secrets, and first love.",سفری در مورد کشف خویشتن، اسرار خانوادگی، و نخستین عشق.,American Library Association
64773,A beautiful and unforgettable story.,داستانی زیبا و فراموش نشدنی.,School Library Journal
24716,"Talking to Strangers is a must-read...I love this book... Reading it will actually change not just how you see strangers, but how you look at yourself, the news--the world...Reading this book changed me.",گفتگو با غریبه ها کتابی دوست داشتنی است که باید خوانده شود...خواندن آن نه تنها طرز نگاه شما به غریبه ها را تغییر می دهد، بلکه طرز نگاه شما به خودتان و اخبار و جهان را نیز تغییر می دهد.,Oprah Magazine
24716,"Mr. Gladwell's towering success rests on the moment when the skeptic starts to think that maybe we're wrong about everything and maybe, just maybe, this Gladwell guy is onto something...Talking to Strangers is weightier than his previous titles",موفقیت عمده ی آقای گلدول زمانی اتفاق می افتد که ذهن شکاک به این می اندیشد که شاید ما درباره ی همه چیز اشتباه می کنیم و شاید، تنها شاید این آقای گلدول نقشه ای در سر دارد...گفتگو با غریبه ها نسبت به عناوین قبلی او وزین تر است.,New York Times
24716,"Gladwell has again delivered a compelling, conversation-starting read...At a time when the world feels intractably polarized, a book examining the varying ways we misinterpret or fail to communicate with one another could not feel more necessary...With a mix of reporting, research and a deft narrative hand, Gladwell illuminates these examples with the page-turning urgency of a paperback thriller.",گلدول اثری متقاعد کننده با شروعی مکالمه ای ارائه داده است...در عصر حاضر که دنیا به طور غیر قابل حلی قطبی شده است، کتابی که شیوه های مختلف شکست یا سو برداشت در ارتباط با دیگران را بررسی می کند، بسیار ضروری است. گلدول با ترکیبی از گزارشات و تحقیقات و قلمی روایتگر، مثال هایش را در این کتاب خواندنی و ضروری و هیجان انگیز روشن می کند.,Los Angeles Times
24716,Gladwell's case studies are thrilling...Chock-full of gripping anecdotes from the recent and forgotten past. He uses these riveting stories to offer up bite-size observations about how we engage with strangers.,موارد مطالعه ی گلدول بسیار مهیج اند...سرشار از حکایات گیرا از گذشته های دور و نزدیک. او از این داستان های میخکوب کننده استفاده می کند تا مشاهداتی در باب نحوه ی ارتباط ما با غریبه ها را ارائه کند.,Booklist
24716,Another Gladwell tour de force...intellectually stimulating...Readers expecting another everything-you-think-you-know-is-wrong page-turner will not be disappointed.,یک اثر سیاحتی و تفکربرانگیز دیگر از گلدول...خوانندگان با اثری دیگر که به آنها می گوید هر چه فکر می کنید بلدید، اشتباه است، رو به رو می شوند که آن ها را ناامید نخواهد ساخت.,Kirkus Reviews
24716,"Both fascinating and topical...A thoughtful treatise...Gladwell writes in his signature colorful, fluid, and accessible prose.",هم جذاب و هم موضوعی ... رساله ای متفکرانه ... گلدول با نثری رنگارنگ ، روان و در دسترس که امضای اوست، می نویسد.,Publishers Weekly
1064,Expertly constructed.,با ساختاری استادانه.,Irish Times
1064,A funny and highly original novel.,رمانی خنده دار و بسیار بدیع.,Amazon
1064,A story worth rereading now and again.,داستانی که ارزش چندین و چند بار خوانده شدن را دارد.,Webster.edu
28369,Highly readable.,بسیار خواندنی.,New York Review of Books
28369,"“[An] elegant . . . laudable, [and] accessible exploration of what’s happening in neuroscience, biochemistry, and other disciplines, and an insightful examination of the trait that defines humans above all other organisms",یک اکتشاف قابل ستایش و در دسترس از آنچه در علوم اعصاب ، بیوشیمی و سایر رشته ها اتفاق می افتد,San Diego Union-Tribune
15743,"A tall-tale, fairy-tale, soap-opera romance, Mexican cookbook and home-remedy handbook all rolled into one, Like Water For Chocolate is one tasty entree from first-time novelist Laura Esquivel.",یک داستان بلند ، افسانه ای ، عاشقانه ، یک کتاب آشپزی مکزیکی و کتاب خانگی برای درمان ملال، همه در یک صفحه قرار گرفته است . آب برای شکلات یکی از غذاهای خوشمزه از لورا اسکیوئل است.,San Francisco Chronicle
9563,Extraordinary by any measure. . . . With this collection [Shepard] becomes a storyteller in the purest sense.,با هر معیاری فوق العاده است. . . . با این مجموعه [شپرد] تبدیل به یک داستان نویس به معنای خالص می شود.,New York Times Book Review
9563,Shocking. . . . Often funny. . . . Shepard’s writing is consistently excellent.,تکان دهنده. . . . اغلب خنده دار. . . . نوشته شپرد همیشه عالی است.,Milwaukee Journal Sentinel
39100,A novel about not just discovering but inventing oneself.,رمانی درباره ی نه فقط کشف، بلکه خلق خویشتن.,Barnes & Noble
39100,It will make you crave more books by Batuman.,این اثر باعث می شود کتاب های بیشتری از «باتومان» بخواهید.,Vanity Fair
39100,"It brims with provocative ideas about language, literature and culture.",مملو از ایده های برانگیزاننده درباره ی زبان، ادبیات و فرهنگ.,Associated Press
661,A human story about falling in love.,داستانی انسانی درباره ی عاشق شدن.,POPSUGAR.co
661,It's a deep dive into love and chance and self-determination.,جهشی عمیق به درون عشق، شانس و تصمیم گیری.,New York Times
661,Moving and suspenseful.,تکان دهنده و پرتعلیق.,Publishers Weekly
2594,"A wise, haunting, and deeply moving novel about loss and recovery.",رمانی خردمندانه، به یاد ماندنی و عمیقا تکان دهنده درباره ی فقدان و بهبودی.,Barnes & Noble
2594,"An absolute charmer of a novel, with sparkling prose.",رمانی فوق العاده جذاب، با نثری درخشان.,The Boston Globe
2594,A pleasure to read.,اثری لذت بخش.,Los Angeles Times
83225,"The work of a true cuentista: gripping, euphonious, and full of storytelling magic.",اثر یک قصه گوی تمام عیار: گیرا، خوش آهنگ، و سرشار از جادوی داستان سرایی.,Publishers Weekly
83225,"A brilliant journey through the stars, to the very heart of what makes us human.",سفری درخشان در میان ستارگان، به اعماق چیزی که ما را به انسان تبدیل می کند.,Amazon
83225,"Gripping in its twists and turns, and moving in its themes.",با پیچ و خم های جذاب، و تم های تکان دهنده.,New York Times
13575,"With a powerful, wounded but courageous lead whom readers will remember.",با شخصیت اصلی قدرتمند، زخم خورده اما شجاعی که مخاطبین او را به خاطر خواهند سپرد.,Publishers Weekly
13575,"A gripping, believable story that doesn’t rest until the last sentence.",داستانی جذاب و باورپذیر که تا آخرین جمله، آرام و قرار نمی گیرد.,Associated Press
13575,An amazing journey.,سفری حیرت انگیز.,Huffington Post
85361,"Thomas Sowell is, in my opinion, the most interesting philosopher at work in America.",توماس سوئل، به نظر من، جالب ترین فیلسوفی است که در آمریکا کار می کند.,author of Modern Times
85361,"ertainly passionate about the subject, Sowell is perceptive and at times brilliant….another well-written work….[A]n entertaining read.",سوئل که مطمئنا مشتاق این موضوع است، فهیم و در مواقعی درخشان است... یک اثر خوش نوشته دیگر….[یک] کتاب سرگرم کننده...,Choice
1612,Capote’s alacrity and cunning makes this his most enjoyable book.,سرزندگی و زیرکی کاپوتی، این اثر را به لذت بخش ترین کتاب او تبدیل می کند.,Newsweek
1612,These stories will endure.,این داستان ها ماندگار خواهند بود.,The New Republic
1612,With superb dialogues.,با گفت و گوهایی خارق العاده.,The New York Times Book Review
2261,An ingeniously constructed play.,نمایشنامه ای با ساختاری نبوغ آمیز.,Barnes & Noble
2261,"If you care to assassinate yourself with laughter, try Deathtrap!",اگر قصد دارید خودتان را با خنده بکشید، شکار مرگ را امتحان کنید!,Time
2261,It combines fiendish cleverness with deft entertainment.,این اثر، هوشی اهریمنی را با سرگرمی استادانه در هم می آمیزد.,Amazon
14632,A fascinating collection.,یک مجموعه جذاب.,Sir Peter Hall
14632,"Through the depth of the essays collected within it, The Resilient City far surpasses previous edited volumes on urban reconstruction.",از طریق مقاله های جمع آوری شده در داخل این مجموعه ، می توان بازسازی شهرها را پس از ویران شدن مشاهده کرد.,H-NET
14632,"The book is also commendable for its vast geographic reach and long temporal arc, and for drawing from a variety of disciplines..",این کتاب بخاطر گستره جغرافیایی گسترده و بازه زمانی طولانی و همچنین ترسیم اتفاقات مختلف قابل ستایش است. .,"Ari Kelman, Technology and Culture"
11474,Exciting and disquieting.,هیجان انگیز و تشویش آور.,Publishers Weekly
11474,A gripping tale of undying devotion.,داستانی گیرا درباره تعهد و عشقی نامیرا.,Horn Book
11474,A captivating Gothic novel.,یک رمان گوتیک مسحورکننده.,Times
648,"Hothouse is wild, impudent, and fiercely funny.",آسایشگاه، اثری طوفانی، گستاخانه و بسیار طنزآمیز است.,Newsweek
648,"Pinter is an incandescence; he glows in the dark, and the glow and the dark are equally of his making.",پینتر، بارقه ای از نور است؛ او در تاریکی می درخشد و تاریکی و درخشش، به یک میزان ساخته ی دست او هستند.,New Yorker
648,Pinter is one of the twentieth century’s most influential playwrights.,پینتر، یکی از تأثیرگذارترین نمایشنامه نویسان قرن بیستم است.,Weekend Edition
16794,A riveting tale of legal intrigue and corporate greed.,داستانی هیجان انگیز درباره ی توطئه های حقوقی و طمع شرکت های بزرگ.,Barnes & Noble
16794,"Grisham's intricate, spellbinding novel.",رمان پرتنش و مسحورکننده ی «گریشام».,Publishers Weekly
16794,The complex plotting is Grisham’s major accomplishment.,پیرنگ پیچیده ی این اثر، دستاورد اصلی «گریشام» است.,Los Angeles Times
2591,A masterful novel.,رمانی استادانه.,USA Today
2591,A deeply beguiling novel.,رمانی عمیقا هیجان انگیز.,The Oprah Magazine
2591,"Well-crafted, utterly absorbing and compelling. Probably the best novel you will read all year.",خوش ساخت، بسیار گیرا و هیجان انگیز. احتمالا بهترین رمانی که امسال خواهید خواند.,Chicago Tribune
30423,"A wild ride about home, family, love, and loss.",تجربه ای طوفانی درباره خانه، خانواده، عشق، و فقدان.,Houston Chronicle
30423,"It will keep you mesmerized from beginning to the head-spinning, unexpected end.",این کتاب از ابتدا تا پایان سرسام آور و غیرمنتظره خود، شما را مسحور نگه می دارد.,Forbes
30423,A satisfying Thriller.,تریلری رضایت بخش.,Fort Lauderdale Sun-Sentinel
82108,Kwok's affecting debut.,اثر نخست تأثیرگذار «کواک».,Publishers Weekly
82108,A straightforward and pleasant narrative.,روایتی سرراست و لذت بخش.,Kirkus Reviews
82108,An inspiring story of an immigrant girl forced to choose between two worlds and two futures.,داستانی الهام بخش درباره دختری مهاجر که مجبور شده میان دو جهان و دو آینده، دست به انتخاب بزند.,Barnes & Noble
2165,A suicide shop that is full of life.,یک مغازه ی خودکشی که سرشار از زندگی است.,Le Figaro
2165,Original and unexpectedly poignant; The Suicide Shop is a timeless classic.,بدیع و به شکل غیرمنتظره ای گزنده؛ کتاب «مغازه خودکشی»، یک اثر کلاسیک جاودان است.,The Truth about Books
2165,"An enjoyable, thought-provoking book.",کتابی لذت بخش و تفکربرانگیز.,Vulpes Libris
14225,An epic and profound tale of World War II.,داستانی حماسی و ژرف درباره جنگ جهانی دوم.,Amazon
14225,One of the supreme achievements of modern Russian literature.,یکی از برجسته ترین دستاوردهای ادبیات مدرن روسیه.,Barnes & Noble
14225,A novel for all time.,رمانی برای تمام اعصار.,Washington Post
19123,"de Botton examines excerpts of contemporary news, mixing them with philosophical observations about the impact the news has on us, why we rely on it so heavily, and how it impacts the way in which we see the world.",آلن دوباتن گزیده ای از اخبار معاصر را بررسی می کند ، و آنها را با مشاهدات فلسفی در مورد تأثیر اخبار بر ما ، بررسی می کند ، چرا ما به آن بسیار تکیه می کنیم ، و چگونگی تأثیر آن در نحوه دیدن جهان تأثیر می گذارد.,Huffington Post
19123,"This branch of the media that incorporates everything from war to celebrities getting pizza is almost omnipresent in our lives, and de Botton here examines how that affects us and how much longer the news can get bigger.",این شاخه از رسانه ها که همه چیز را شامل می شود از جنگ گرفته تا افراد مشهور برای گرفتن پیتزا ، تقریبا همه جانبه در زندگی ما نمایان است ، و دوباتن در اینجا بررسی می کند که چگونه این امر بر ما تأثیر می گذارد.,The Great 2014 Book Preview
47185,"More than three decades after its first production, Talley's Folly is still frequently staged.",بیش از سه دهه پس از اولین انتشار، «عمارت تالی» همچنان به شکل پیوسته روی صحنه می رود.,BookRags
47185,One of Wilson's most hopeful and affirming plays.,یکی از امیدوارانه ترین و دلگرم کننده ترین نمایشنامه های «ویلسون».,Amazon
47185,An intense romance.,عاشقانه ای پرحرارت.,Scribd
24332,"This is the outstanding work on the subject, clearly and gracefully written, as well as informative and authoritative.",این اثر برجسته پیرامون موضوع مدنظر، به وضوح و با ظرافت نوشته شده و همچنین آموزنده و معتبر است.,"Professor Wm. Roger Louis, University of Texas at Austin"
